#target name         accession query name                                             accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- ------------------------------------------------------ --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
FJ445162.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      252      175      -    no    1 0.51   0.0   16.7        77 ?   Human rhinovirus 84 strain ATCC VR-1194, complete genome
PP827034.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83     8203     8131      -    no    1 0.45   0.0   16.2     1e+02 ?   Bar-headed goose megrivirus isolate PICV21, complete genome
PP827035.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83     8125     8053      -    no    1 0.45   0.0   16.2     1e+02 ?   Bar-headed goose megrivirus isolate PICV22, complete genome
EF173423.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      255      169      -    no    1 0.51   0.0   16.0   1.2e+02 ?   Human rhinovirus 37, complete genome
OL614975.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83     8151     8077      -    no    1 0.44   0.0   15.4   1.8e+02 ?   Avian megrivirus strain avian/JF05/BA/BRA, complete genome
MZ629157.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      215      129      -    no    1 0.48   0.0   14.8   2.6e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/PPFGFR, complete genome
MZ460680.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      215      129      -    no    1 0.48   0.0   14.8   2.6e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/A8F6KW, complete genome
PQ602525.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83     4361     4423      +    no    1 0.40   0.0   14.7   2.8e+02 ?   Rhinovirus C42 isolate RV-C42/Russia/SPE-RII-17612/2023, complete genome
PP991503.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83     4364     4426      +    no    1 0.40   0.0   14.7   2.8e+02 ?   Rhinovirus C isolate HRV-C42/USA/MD-ARIA-07388/2023, complete genome
PP991504.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83     4364     4426      +    no    1 0.40   0.0   14.7   2.8e+02 ?   Rhinovirus C isolate HRV-C42/USA/MD-ARIA-07406/2023, complete genome
PP125278.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      215      129      -    no    1 0.49   0.0   14.6     3e+02 ?   MAG: Rhinovirus B isolate RV-B6/USA/JJ34R9/2021, complete genome
OM001409.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      209      123      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/45WJKT, complete genome
OM001417.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      209      123      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/BPFP6D, complete genome
OM001425.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      209      123      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/DPDH5G, complete genome
OM001435.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      209      123      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/JZXZRN, complete genome
OM001456.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      209      123      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/UK2NRH, complete genome
OL133761.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      209      123      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/VJTQNT, complete genome
OL638410.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      209      123      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/5RAVMG, complete genome
OL638415.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      209      123      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/8F5FMF, complete genome
OL638445.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      209      123      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/N5MQ9S, complete genome
OL638455.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      209      123      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/T9WSKA, complete genome
OL961522.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      209      123      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/9PHJLR, complete genome
OL961538.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      209      123      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/Q4YND6, complete genome
OK161384.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      209      123      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/GNSDVR, complete genome
OK161403.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      209      123      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/VSSKEQ, complete genome
OK181464.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      209      123      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/64VDGY, complete genome
OK181492.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      209      123      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/QAUFHA, complete genome
OK254840.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      203      117      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/69Y444, complete genome
OK254841.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      203      117      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/77D8NW, complete genome
OK254846.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      203      117      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/B2GAN2, complete genome
OK254848.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      203      117      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/BK4QCC, complete genome
OK539502.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      209      123      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/RVALDX, complete genome
OK649410.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      209      123      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/NNWZ7G, complete genome
OK649426.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      209      123      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/YYCVTX, complete genome
OK017940.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      215      129      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/LYE8QW, complete genome
OK017947.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      215      129      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/NQAYRT, complete genome
OK017959.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      215      129      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/TGXSK5, complete genome
MZ667416.2           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      246      160      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B strain NW4, complete genome
MZ670591.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      209      123      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/RAS4VQ, complete genome
MZ835566.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      209      123      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/9C7QA8, complete genome
MZ835567.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      209      123      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/9P4HWE, complete genome
MZ460678.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      215      129      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/A64QJP, complete genome
MZ460710.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      215      129      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/WSTX7E, complete genome
MZ153247.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      209      123      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/WA7H3B, complete genome
MZ153282.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      215      129      -    no    1 0.49   0.0   14.6     3e+02 ?   Rhinovirus B6 strain RvB6/USA/2021/322859-4, complete genome
PP228890.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83     7692     7632      -    no    1 0.64   0.0   14.6   3.1e+02 ?   MAG: Megrivirus C2 isolate B12_2W3_SA_22, complete genome
PP228891.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83     7593     7533      -    no    1 0.64   0.0   14.6   3.1e+02 ?   MAG: Megrivirus C2 isolate B11_2W2_SA_22, complete genome
PP228897.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83     7710     7650      -    no    1 0.64   0.0   14.6   3.1e+02 ?   MAG: Megrivirus C1 isolate C3_7W5_SA_22, complete genome
MW605074.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83     2794     2698      -    no    1 0.54   0.0   14.3   3.7e+02 ?   Bovine kobuvirus strain 1043507, complete genome
FJ445169.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      251      174      -    no    1 0.53   0.0   14.1   4.4e+02 ?   Human rhinovirus 92 strain ATCC VR-1293, complete genome
PP827032.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83     8362     8288      -    no    1 0.43   0.0   13.8   5.1e+02 ?   Bar-headed goose megrivirus isolate PICV1, complete genome
PX437287.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83     2802     2706      -    no    1 0.59   0.0   13.8   5.3e+02 ?   Kobuvirus bejaponia isolate BKV/UY-Lyb5-6018/2024/URY, complete genome
PQ368550.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83     8170     8080      -    no    1 0.47   0.0   13.7   5.7e+02 ?   Goose megrivirus isolate SC01/China/2023, complete genome
PQ368551.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83     8156     8066      -    no    1 0.48   0.0   13.7   5.7e+02 ?   Goose megrivirus isolate SC02/China/2023, complete genome
KY024318.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83     2656     2696      +    no    1 0.37   0.0   13.4   6.8e+02 ?   Biomphalaria virus 1 isolate Barreiro, complete genome
KY369299.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83     7993     7920      -    no    1 0.53   0.0   13.4   6.8e+02 ?   Megrivirus A3 isolate W18, complete genome
JN572119.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83       90      165      +    no    1 0.50   0.0   13.3   7.3e+02 ?   Feline picornavirus strain 1021F, complete genome
MZ322924.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      224      153      -    no    1 0.49   0.0   12.9   9.2e+02 ?   Rhinovirus B3 strain RvB3/USA/2021/FRSJ9W, complete genome
OM001374.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      216      131      -    no    1 0.50   0.0   12.9   9.3e+02 ?   Rhinovirus B3 strain RvB3/USA/2021/D4ESYT, complete genome
OM001380.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      216      131      -    no    1 0.50   0.0   12.9   9.3e+02 ?   Rhinovirus B3 strain RvB3/USA/2021/HH6GFW, complete genome
OK017965.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      216      131      -    no    1 0.50   0.0   12.9   9.3e+02 ?   Rhinovirus B3 strain RvB3/USA/2021/XVK5XT, complete genome
MZ460671.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      214      129      -    no    1 0.50   0.0   12.9   9.3e+02 ?   Rhinovirus B3 strain RvB3/USA/2021/2T49PG, complete genome
KY684757.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      254      169      -    no    1 0.50   0.0   12.9   9.3e+02 ?   Rhinovirus B3 strain SC2220, complete genome
NC_016156.1          -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83       90      165      +    no    1 0.51   0.0   12.8   9.9e+02 ?   Feline picornavirus, complete genome
JN572115.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83       90      165      +    no    1 0.51   0.0   12.8   9.9e+02 ?   Felipivirus A1 strain 073F polyprotein gene, complete cds
JN572117.1           -         a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2 -          cm        1       83      114      189      +    no    1 0.51   0.0   12.8   9.9e+02 ?   Feline picornavirus strain 356F, complete genome
#
# Program:         cmsearch
# Version:         1.1.5 (Sep 2023)
# Pipeline mode:   SEARCH
# Query file:      A7_analysis/a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2.cm
# Target file:     A7_analysis/picornavirales_genbank_refseq.fna
# Option settings: cmsearch -o A7_analysis/picornavirales_hits.out -A A7_analysis/picornavirales_hits.stk --tblout A7_analysis/picornavirales_hits.tbl -E 1000 A7_analysis/a7s-like-seqs-non-redundant2-Kodimesavirinae-extended2.cm A7_analysis/picornavirales_genbank_refseq.fna 
# Current dir:     /projects/health_sciences/bms/biochemistry/gardner_group/nadia/UTR_optimization
# Date:            Wed Jun 17 13:14:02 2026
# [ok]
