symbol	Ensembl_Gene	Ensembl_nuc	five_utr_written	cds_written	three_utr_written	error
ART4	ENSG00000111339.13	ENST00000228936.6	True	True	True	
ARVCF	ENSG00000099889.16	ENST00000263207.8	True	True	True	
ASAH1	ENSG00000104763.22	ENST00000637790.2	True	True	True	
ASCL1	ENSG00000139352.5	ENST00000266744.4	True	True	True	
ASCL2	ENSG00000183734.6	ENST00000331289.5	True	True	True	
ASGR1	ENSG00000141505.14	ENST00000269299.8	True	True	True	
ASGR2	ENSG00000161944.19	ENST00000691900.1	True	True	True	
ASIP	ENSG00000101440.12	ENST00000374954.4	True	True	True	
ASL	ENSG00000126522.19	ENST00000304874.14	True	True	True	
ASMT	ENSG00000196433.13	ENST00000381241.9	True	True	True	
GET3	ENSG00000198356.14	ENST00000357332.8	True	True	True	
ASNS	ENSG00000070669.19	ENST00000394308.8	True	True	True	
ASPA	ENSG00000108381.13	ENST00000263080.3	True	True	True	
ASPH	ENSG00000198363.20	ENST00000379454.9	True	True	True	
ASS1	ENSG00000130707.20	ENST00000352480.10	True	True	True	
ASTN1	ENSG00000152092.19	ENST00000361833.7	True	True	True	
SERPINC1	ENSG00000117601.17	ENST00000367698.4	True	True	True	
ZFHX3	ENSG00000140836.18	ENST00000268489.10	True	True	True	
ATF1	ENSG00000123268.11	ENST00000262053.8	True	True	True	
ATF3	ENSG00000162772.20	ENST00000341491.9	True	True	True	
ATF4	ENSG00000128272.21	ENST00000674920.3	True	True	True	
ATIC	ENSG00000138363.17	ENST00000236959.14	True	True	True	
ATM	ENSG00000149311.24	ENST00000675843.1	True	True	True	
RERE	ENSG00000142599.22	ENST00000400908.7	True	True	True	
ATOH1	ENSG00000172238.6	ENST00000306011.6	True	True	True	
ATOX1	ENSG00000177556.14	ENST00000313115.11	True	True	True	
ATP1A1	ENSG00000163399.18	ENST00000295598.10	True	True	True	
ATP1A2	ENSG00000018625.17	ENST00000361216.8	True	True	True	
ATP1A3	ENSG00000105409.21	ENST00000648268.1	True	True	True	
ATP12A	ENSG00000075673.14	ENST00000381946.5	True	True	True	
ATP1A4	ENSG00000132681.18	ENST00000368081.9	True	True	True	
ATP1B1	ENSG00000143153.16	ENST00000367815.9	True	True	True	
ATP1B2	ENSG00000129244.11	ENST00000250111.9	True	True	True	
ATP1B3	ENSG00000069849.13	ENST00000286371.8	True	True	True	
FXYD2	ENSG00000137731.16	ENST00000292079.7	True	True	True	
ATP2A1	ENSG00000196296.16	ENST00000395503.9	True	True	True	
ATP2A2	ENSG00000174437.20	ENST00000539276.7	True	True	True	
ATP2A3	ENSG00000074370.21	ENST00000397041.8	True	True	True	
ATP2B1	ENSG00000070961.19	ENST00000428670.8	True	True	True	
ATP2B2	ENSG00000157087.21	ENST00000360273.7	True	True	True	
ATP2B3	ENSG00000067842.21	ENST00000263519.5	True	True	True	
